year,hire,terminate,net_change,net_change_percentage
2000,220,31,189,85.9091
2001,1122,203,919,81.9073
2002,1067,174,893,83.6926
2003,1142,203,939,82.2242
2004,1135,209,926,81.5859
2005,1097,198,899,81.9508
2006,1118,192,926,82.8265
2007,1090,161,929,85.2294
2008,1108,151,957,86.3718
2009,1140,161,979,85.8772
2010,1099,145,954,86.8062
2011,1101,125,976,88.6467
2012,1103,125,978,88.6673
2013,1105,105,1000,90.4977
2014,1053,97,956,90.7882
2015,1059,94,965,91.1237
2016,1122,79,1043,92.9590
2017,1091,67,1024,93.8588
2018,1147,58,1089,94.9433
2019,1083,58,1025,94.6445
2020,1012,41,971,95.9486
